2023-05-15T11:55:36.979039-0300 DEBUG Hello, World (debug)!
2023-05-15T11:55:36.979616-0300 INFO Hello, World (info)!
2023-05-15T11:55:36.979985-0300 ERROR Hello, World (error)!
2023-05-15T11:55:36.997010-0300 DEBUG Hello, World (debug)!
2023-05-15T11:55:36.998372-0300 INFO Hello, World (info)!
2023-05-15T11:55:36.999036-0300 ERROR Hello, World (error)!
2023-05-15T11:55:37.026706-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.027823-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.028205-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.028479-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.028775-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.029020-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.029315-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.029558-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.029864-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.030104-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.030387-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.030744-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.030995-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.031271-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.031511-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.031788-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.032086-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.032714-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.032994-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.033379-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.033642-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.033925-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.034163-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.034454-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.034751-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.035038-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.035270-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.035550-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.035781-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.036057-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.036286-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.036563-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.036789-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.037064-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.037293-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.037569-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.037800-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.038075-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.038306-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.039865-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.040282-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.040581-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.040823-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.041093-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.041333-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.041602-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.041843-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.042110-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.042346-0300 INFO Hello, World (info)!
2023-05-15T11:55:37.042656-0300 INFO Hello, World (info)!
